source_video,frame_index,video_time_s,real_time_h,projected_area_px,normalized_projected_area,threshold_used,roi_y_min,roi_y_max,mask_area_valid,qc_flag,formulation_group,pH_condition,viscosity_group,replicate_id,include_for_fig4,mapping_used,parsing_status
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2000,80.0,16.666666666666668,2935111,4.2718807353469845,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2020,80.8,16.833333333333332,2942410,4.282503998824004,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2040,81.6,16.999999999999996,2950659,4.294509931201306,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2060,82.4,17.166666666666668,2958709,4.306226230830023,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2080,83.2,17.333333333333332,2969019,4.321231827000467,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2100,84.0,17.5,2969850,4.322441298427978,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2120,84.8,17.666666666666668,2980771,4.338336169017446,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2140,85.6,17.833333333333332,2982948,4.341504663960516,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2160,86.4,18.000000000000004,3000441,4.36696469245805,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2180,87.2,18.166666666666668,3009125,4.379603741647588,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2200,88.0,18.333333333333332,3002496,4.369955623605506,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2220,88.8,18.5,3008010,4.37798092499094,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2240,89.6,18.666666666666668,3005978,4.375023468985281,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2260,90.4,18.833333333333332,3006809,4.376232940412792,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2280,91.2,19.0,3011081,4.382450584141225,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2300,92.0,19.166666666666668,3016368,4.390145500431538,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2320,92.8,19.333333333333332,3021022,4.396919122601979,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2340,93.6,19.5,3023558,4.400610120845262,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2360,94.4,19.666666666666668,3020922,4.396773578507212,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2380,95.2,19.833333333333332,3022080,4.3984589791246105,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2400,96.0,20.0,3029448,4.409182668027019,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2420,96.8,20.166666666666668,3059728,4.453253419922366,74.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2440,97.6,20.333333333333332,3037777,4.421305035680135,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2460,98.4,20.5,3071677,4.470644483806036,74.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2480,99.2,20.666666666666668,3049982,4.439068692446407,75.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
01-pH6.8T-亲水凝胶空白制剂-251217-Side-24h-750X-1.mp4,2500,100.0,20.833333333333332,3081100,4.484359103855899,74.0,,,True,,pH 6.8,pH 6.8,,01,yes,False,auto_parsed
